0,1,2,3,4,5
500,500,500.0,500.0,500,500
473,0,1027.0,500.0,500,500
494,0,1027.0,499.0,480,500
497,0,1027.0,499.0,479,498
995,0,530.0,499.0,479,497
465,0,1060.0,499.0,479,497
0,0,1527.0,497.0,479,497
0,0,1527.0,976.0,0,497
0,0,1528.0,976.0,0,496
0,0,1526.0,978.0,0,496
0,0,1530.0,976.0,0,494
0,0,1493.0,1014.0,0,493
0,0,479.0,2028.0,0,493
